Regular Season or Playoffs,Year,Team,PG,PG Height,SG,SG Height,SF,SF Height,PF,PF Height,C,C Height,Average Height,Poss,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate,OFFENSE: Rim Frequency Rank,OFFENSE: Rim Frequency,OFFENSE: Short Mid Frequency Rank,OFFENSE: Short Mid Frequency,OFFENSE: Long Mid Frequency Rank,OFFENSE: Long Mid Frequency,OFFENSE: All Mid Frequency Rank,OFFENSE: All Mid Frequency,OFFENSE: Corner Three Frequency Rank,OFFENSE: Corner Three Frequency,OFFENSE: Non Corner Three Frequency Rank,OFFENSE: Non Corner Three Frequency,OFFENSE: All Three Frequency Rank,OFFENSE: All Three Frequency,OFFENSE: Rim FG% Rank,OFFENSE: Rim FG%,OFFENSE: Short Mid FG Rank,OFFENSE: Short Mid FG%,OFFENSE: Long Mid FG Rank,OFFENSE: Long Mid FG%,OFFENSE: All Mid FG Rank,OFFENSE: All Mid FG%,OFFENSE: Corner Three FG Rank,OFFENSE: Corner Three FG%,OFFENSE: Non Corner Three FG Rank,OFFENSE: Non Corner Three FG%,OFFENSE: All Three FG Rank%,OFFENSE: All Three FG%,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play,DEFENSE: Rim Frequency Rank,DEFENSE: Rim Frequency,DEFENSE: Short Mid Frequency Rank,DEFENSE: Short Mid Frequency,DEFENSE: Long Mid Frequency Rank,DEFENSE: Long Mid Frequency,DEFENSE: All Mid Frequency Rank,DEFENSE: All Mid Frequency,DEFENSE: Corner Three Frequency Rank,DEFENSE: Corner Three Frequency,DEFENSE: Non Corner Three Frequency Rank,DEFENSE: Non Corner Three Frequency,DEFENSE: All Three Frequency Rank,DEFENSE: All Three Frequency,DEFENSE: Rim FG% Rank,DEFENSE: Rim FG%,DEFENSE: Short Mid FG Rank,DEFENSE: Short Mid FG%,DEFENSE: Long Mid FG Rank,DEFENSE: Long Mid FG%,DEFENSE: All Mid FG Rank,DEFENSE: All Mid FG%,DEFENSE: Corner Three FG Rank,DEFENSE: Corner Three FG%,DEFENSE: Non Corner Three FG Rank,DEFENSE: Non Corner Three FG%,DEFENSE: All Three FG Rank%,DEFENSE: All Three FG%,DEFENSE HALFCOURT: Pts/Play Rank,DEFENSE HALFCOURT: Pts/Play,DEFENSE HALFCOURT: OREB% Rank,DEFENSE HALFCOURT: OREB%,DEFENSE HALFCOURT: % of Plays Rank,DEFENSE HALFCOURT: % of Plays,DEFENSE PUTBACKS: Pts/Miss Rank,DEFENSE PUTBACKS: Pts/Miss,DEFENSE PUTBACKS: Plays/Miss Rank,DEFENSE PUTBACKS: Plays/Miss,DEFENSE PUTBACKS: Pts/Play Rank,DEFENSE PUTBACKS: Pts/Play
Playoffs,2004,League Averages,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.4,NA,45.6%,NA,16.7%,NA,29.2%,NA,23.8,NA,98.4,NA,45.6%,NA,16.7%,NA,29.2%,NA,23.8,NA,31.2%,NA,19.6%,NA,29.3%,NA,48.9%,NA,5.5%,NA,14.3%,NA,19.8%,NA,56.9%,NA,37.0%,NA,36.5%,NA,36.7%,NA,34.5%,NA,32.8%,NA,33.3%,NA,79.7,NA,30.3%,NA,80.0%,NA,19.2,NA,18.2,NA,102.3,NA,31.2%,NA,19.6%,NA,29.3%,NA,48.9%,NA,5.5%,NA,14.3%,NA,19.8%,NA,56.9%,NA,37.0%,NA,36.5%,NA,36.7%,NA,34.5%,NA,32.8%,NA,33.3%,NA,79.7,NA,30.3%,NA,80.0%,NA,19.2,NA,18.2,NA,102.3
Playoffs,2004,DET,Chauncey Billups,75,Richard Hamilton,79,Tayshaun Prince,81,Rasheed Wallace,83,Ben Wallace,81,79.8,930,100,13.5,67,104.1,50,47.4%,72,14.7%,72,31.0%,61,24.1,83,90.6,89,42.2%,72,17.1%,61,27.5%,50,19.4,50,32.3%,39,17.2%,72,31.9%,50,49.1%,56,5.4%,39,13.2%,39,18.6%,33,58.0%,56,37.6%,56,39.8%,61,39.1%,83,47.7%,28,28.7%,56,34.2%,72,85.6,67,31.2%,72,78.0%,50,17.5,56,17.8,28,95.9,17,37.3%,89,16.0%,83,25.7%,89,41.7%,6,7.7%,50,13.3%,33,21.0%,94,49.7%,83,30.0%,44,40.4%,67,36.4%,67,33.9%,83,23.1%,83,27.1%,83,72.8,33,29.9%,28,79.6%,67,17.8,61,16.7,44,104.2
Playoffs,2004,LAL,Gary Payton,76,Kobe Bryant,78,Devean George,80,Karl Malone,81,Shaquille O'Neal,85,80,604,56,3.4,56,100.2,83,49.9%,39,16.6%,50,26.8%,39,17.9,61,96.7,50,46.6%,61,16.3%,44,29.3%,67,16.8,83,35.6%,83,22.8%,17,24.5%,39,47.3%,22,4.3%,33,12.8%,28,17.1%,61,60.1%,61,38.5%,61,41.3%,78,39.9%,56,36.4%,67,37.9%,72,37.5%,56,83.1,56,28.6%,11,83.6%,72,20.8,72,19.4,44,104,72,26.1%,17,23.6%,56,29.3%,44,52.8%,17,6.9%,39,14.1%,28,21.0%,17,61.5%,67,33.3%,33,41.9%,56,38.1%,78,31.6%,56,33.8%,61,33.0%,56,78.6,39,29.5%,67,81.6%,61,18.6,67,16.2,22,113
Playoffs,2004,MIA,Dwyane Wade,76,Eddie Jones,78,Caron Butler,79,Lamar Odom,82,Brian Grant,81,79.2,402,39,1,33,97.3,39,45.6%,61,15.7%,33,25.6%,67,24.2,67,96.3,28,48.0%,89,21.4%,11,33.2%,61,17.2,33,30.4%,28,16.1%,100,42.4%,94,58.5%,6,2.0%,11,9.1%,6,11.1%,50,58.7%,89,43.6%,50,37.9%,67,39.5%,39,28.6%,33,29.0%,22,28.9%,33,78.5,39,25.3%,78,77.8%,44,16.6,28,15.1,67,107.7,78,25.9%,33,22.2%,61,27.7%,67,49.9%,39,5.5%,11,18.7%,6,24.2%,22,60.7%,44,36.8%,83,34.7%,72,35.7%,50,42.1%,28,39.1%,28,39.8%,33,82.3,11,34.1%,94,84.1%,72,17.2,44,18.1,56,93.8
Playoffs,2004,MIN,Sam Cassell,75,Latrell Sprewell,77,Trenton Hassell,77,Kevin Garnett,83,Ervin Johnson,83,79,378,50,1.5,50,99.7,56,48.4%,28,17.5%,39,25.8%,17,13.8,56,98.2,44,46.9%,44,15.7%,33,30.3%,89,14.1,0,22.6%,72,22.3%,94,41.6%,100,63.9%,39,4.4%,17,9.1%,11,13.5%,67,61.0%,78,42.1%,72,41.5%,83,41.7%,28,20.0%,83,48.4%,78,39.1%,50,79.4,44,26.1%,56,80.4%,56,17.8,39,16.1,56,107.4,44,30.2%,83,16.9%,0,41.0%,6,57.9%,44,4.8%,100,7.1%,94,11.9%,44,57.9%,67,33.3%,39,41.4%,39,39.0%,56,41.2%,39,36.0%,33,38.1%,39,81.6,56,28.5%,33,79.9%,44,19.8,72,15.6,6,125.9
Playoffs,2004,IND,Jamaal Tinsley,75,Reggie Miller,79,Metta World Peace,79,Jermaine O'Neal,83,Jeff Foster,83,79.8,356,83,6.6,61,100.3,11,43.9%,50,16.0%,89,31.7%,78,24.5,72,93.6,72,44.9%,56,16.0%,78,25.0%,17,21.3,39,31.0%,94,26.0%,0,21.9%,44,48.0%,50,5.3%,78,15.7%,61,21.0%,44,58.6%,39,33.7%,11,30.0%,22,32.0%,50,35.3%,44,32.0%,50,32.8%,39,78.8,78,32.7%,39,82.3%,89,23.1,50,17.7,89,125.8,56,29.2%,61,20.3%,28,35.4%,28,55.7%,83,3.0%,61,12.1%,67,15.1%,72,55.1%,6,43.5%,50,39.8%,17,41.2%,39,44.4%,89,21.6%,94,26.1%,50,79.1,67,27.4%,17,78.8%,83,13.2,89,14.3,67,90.9
Playoffs,2004,NJN,Jason Kidd,76,Kerry Kittles,77,Richard Jefferson,79,Kenyon Martin,81,Jason Collins,84,79.4,316,94,12.5,17,94.3,33,45.1%,6,20.9%,78,31.0%,94,28.5,100,81.8,100,41.0%,83,21.0%,72,26.3%,78,16.1,94,42.7%,22,15.4%,6,22.9%,6,38.3%,28,4.3%,61,14.6%,44,19.0%,22,52.8%,17,30.8%,67,41.4%,39,37.1%,56,36.4%,11,27.0%,28,29.2%,6,70.4,89,33.6%,94,72.4%,83,22.2,83,20,72,108.3,61,27.3%,50,21.0%,17,36.7%,11,57.7%,72,4.1%,72,10.9%,72,15.0%,78,53.4%,22,41.1%,100,28.6%,100,33.1%,17,54.5%,78,24.1%,67,32.5%,100,69.6,83,26.1%,72,83.1%,89,12.9,94,14,72,90.5
Playoffs,2004,SAC,Mike Bibby,74,Doug Christie,78,Peja Stojakovic,82,Chris Webber,81,Vlade Divac,85,80,285,17,-6.7,28,96.5,44,46.7%,44,16.1%,67,30.8%,22,15.4,28,103.2,39,47.4%,22,14.7%,22,31.8%,94,13.2,44,31.9%,50,17.7%,78,34.3%,67,52.0%,78,7.1%,6,9.1%,22,16.1%,6,49.4%,22,31.1%,100,48.3%,89,42.4%,78,44.4%,39,30.4%,67,36.6%,22,75.8,61,30.4%,44,81.0%,78,21.8,78,19.9,56,107.4,67,26.5%,44,21.7%,22,35.7%,17,57.4%,50,4.8%,67,11.4%,61,16.2%,39,58.3%,28,40.7%,17,43.3%,11,42.3%,89,23.1%,50,35.5%,72,31.8%,17,84.8,22,33.6%,39,80.0%,0,27.7,11,21.6,11,124.1
Playoffs,2004,SAC,Mike Bibby,74,Doug Christie,78,Peja Stojakovic,82,Chris Webber,81,Brad Miller,84,79.8,284,67,4.2,89,106.3,100,53.1%,56,15.8%,0,16.8%,89,27.2,33,102.1,61,45.6%,17,14.0%,28,30.6%,6,24.2,56,32.5%,11,13.6%,67,30.7%,11,44.3%,100,8.8%,56,14.5%,89,23.2%,56,59.5%,72,38.7%,44,37.1%,56,37.6%,89,50.0%,89,48.5%,94,49.1%,78,87.9,0,18.5%,33,82.3%,17,14.7,17,13.5,50,106.7,50,29.8%,78,18.3%,44,31.0%,72,49.2%,33,5.6%,28,15.5%,22,21.0%,83,53.3%,39,37.0%,56,39.7%,44,38.7%,83,28.6%,44,35.9%,50,34.0%,44,81.2,50,28.6%,6,75.5%,17,21.6,50,18,17,117.4
Playoffs,2004,LAL,Gary Payton,76,Derek Fisher,73,Kobe Bryant,78,Karl Malone,81,Shaquille O'Neal,85,78.6,219,44,1.3,78,105.9,94,51.8%,94,11.9%,11,21.6%,100,37.8,17,104.7,78,43.4%,28,14.9%,17,32.6%,11,23.3,11,26.2%,61,20.7%,56,29.3%,56,50.0%,67,6.7%,89,17.1%,100,23.8%,100,79.1%,94,47.1%,78,41.7%,94,43.9%,11,9.1%,50,32.1%,11,25.6%,100,95.4,72,31.9%,50,80.5%,33,16,83,20,6,80,94,23.8%,11,24.3%,67,27.7%,50,51.9%,0,8.7%,22,15.5%,0,24.3%,56,57.1%,83,30.0%,28,42.1%,61,36.4%,94,16.7%,33,37.5%,78,30.0%,72,77,17,33.6%,61,81.3%,33,20.9,39,18.8,28,109.1
