Year,Player,Pos,Height,WT,Age,Teams,GP,YOS,Pre-Draft Team,Draft Status,Nationality
2022,Precious Achiuwa,SF,80,235,22,TOR,73,1,Memphis,2020 Rnd 1 Pick 20,Nigeria
2022,Steven Adams,C,83,265,28,MEM,76,8,Pittsburgh,2013 Rnd 1 Pick 12,New Zealand
2022,Bam Adebayo,C,82,255,24,MIA,56,4,Kentucky,2017 Rnd 1 Pick 14,United States
2022,Santi Aldama,C,83,226,21,MEM,32,0,Loyola (MD),2021 Rnd 1 Pick 30,Spain
2022,LaMarcus Aldridge,FC,83,265,36,BRK,47,15,Texas,2006 Rnd 1 Pick 2,United States
2022,Nickeil Alexander-Walker,SG,77,205,23,"NOP, UTH",65,2,Virginia Tech,2019 Rnd 1 Pick 17,Canada
2022,Grayson Allen,SG,76,198,26,MIL,66,3,Duke,2018 Rnd 1 Pick 21,United States
2022,Jarrett Allen,C,83,248,23,CLE,56,4,Texas,2017 Rnd 1 Pick 22,United States
2022,Jose Alvarado,G,72,179,23,NOP,54,0,Georgia Tech,"2021 NBA Draft, Undrafted",United StatesPuerto Rico
2022,Justin Anderson,F,78,230,28,"CLE, IND",16,5,Virginia,2015 Rnd 1 Pick 21,United States
2022,Kyle Anderson,PF,80,230,28,MEM,69,7,UCLA,2014 Rnd 1 Pick 30,United States
2022,Giannis Antetokounmpo,F,83,242,27,MIL,67,8,Filathlitikos Div II Greece (Greece),2013 Rnd 1 Pick 15,GreeceNigeria
2022,Thanasis Antetokounmpo,SF,79,215,29,MIL,48,3,Delaware 87ers,2014 Rnd 2 Pick 21,GreeceNigeria
2022,Carmelo Anthony,F,80,240,37,LAL,69,18,Syracuse,2003 Rnd 1 Pick 3,United States
2022,Cole Anthony,PG,75,190,21,ORL,65,1,North Carolina,2020 Rnd 1 Pick 15,United States
2022,OG Anunoby,SF,80,232,24,TOR,48,4,Indiana,2017 Rnd 1 Pick 23,EnglandUnited States
2022,Ryan Arcidiacono,G,75,195,27,NYK,10,4,Villanova,"2016 NBA Draft, Undrafted",United States
2022,Trevor Ariza,SF,80,215,36,LAL,24,17,UCLA,2004 Rnd 2 Pick 14,United States
